UNECECode,UnitId,DisplayName,Description
C81,4405297,"rad","radian"
C25,4403765,"mrad","milliradian"
B97,4340023,"µrad","microradian"
DD,17476,"°","degree [unit of angle]"
D61,4470321,"'","minute [unit of angle]"
D62,4470322,"""","second [unit of angle]"
A91,4274481,"gon","gon"
M43,5059635,"mil","mil"
M44,5059636,"rev","revolution"
D27,4469303,"sr","steradian"
H57,4732215,"in/revolution","inch per two pi radiant"
MTR,5067858,"m","metre"
E96,4536630,"°/s","degree per second"
H27,4731447,"°/m","degree per metre"
M55,5059893,"m/rad","metre per radiant"
DMT,4476244,"dm","decimetre"
CMT,4410708,"cm","centimetre"
4H,13384,"µm","micrometre (micron)"
MMT,5066068,"mm","millimetre"
HMT,4738388,"hm","hectometre"
KMT,4934996,"km","kilometre"
C45,4404277,"nm","nanometre"
C52,4404530,"pm","picometre"
A71,4273969,"fm","femtometre"
A45,4273205,"dam","decametre"
NMI,5131593,"n mile","nautical mile"
A11,4272433,"Å","angstrom"
A12,4272434,"ua","astronomical unit"
C63,4404787,"pc","parsec"
F52,4601138,"m/K","metre per kelvin"
F50,4601136,"µm/K","micrometre per kelvin"
F51,4601137,"cm/K","centimetre per kelvin"
G06,4665398,"mm/bar","millimetre per bar"
H84,4732980,"g·mm","gram millimetre"
G04,4665396,"cm/bar","centimetre per bar"
G05,4665397,"m/bar","metre per bar"
H79,4732729,"Fg","French gauge"
AK,16715,"fth","fathom"
X1,22577,"ch (UK)","Gunter's chain"
INH,4804168,"in","inch"
M7,19767,"µin","micro-inch"
FOT,4607828,"ft","foot"
YRD,5853764,"yd","yard"
SMI,5459273,"mile","mile (statute mile)"
77,14135,"mil","milli-inch"
B57,4338999,"ly","light year"
F49,4600889,"rd (US)","rod [unit of distance]"
MAM,5062989,"Mm","megametre"
K13,4927795,"ft/°F","foot per degree Fahrenheit"
K17,4927799,"ft/psi","foot per psi"
K45,4928565,"in/°F","inch per degree Fahrenheit"
K46,4928566,"in/psi","inch per psi"
L98,4995384,"yd/°F","yard per degree Fahrenheit"
L99,4995385,"yd/psi","yard per psi"
M49,5059641,"ch (US survey)","chain (based on U.S. survey foot)"
M50,5059888,"fur","furlong"
M51,5059889,"ft (US survey)","foot (U.S. survey)"
M52,5059890,"mi (US survey)","mile (based on U.S. survey foot)"
M53,5059891,"m/Pa","metre per pascal"
MTK,5067851,"m²","square metre"
KMK,4934987,"km²","square kilometre"
H30,4731696,"µm²","square micrometre (square micron)"
H59,4732217,"m²/N","square metre per newton"
DAA,4473153,"daa","decare"
CMK,4410699,"cm²","square centimetre"
DMK,4476235,"dm²","square decimetre"
H16,4731190,"dam²","square decametre"
H18,4731192,"hm²","square hectometre"
MMK,5066059,"mm²","square millimetre"
ARE,4280901,"a","are"
HAR,4735314,"ha","hectare"
INK,4804171,"in²","square inch"
FTK,4609099,"ft²","square foot"
YDK,5850187,"yd²","square yard"
MIK,5065035,"mi²","square mile (statute mile)"
M48,5059640,"mi² (US survey)","square mile (based on U.S. survey foot)"
ACR,4277074,"acre","acre"
M47,5059639,"cmil","circular mil"
MTQ,5067857,"m³","cubic metre"
MAL,5062988,"Ml","megalitre"
LTR,5002322,"l","litre"
MMQ,5066065,"mm³","cubic millimetre"
CMQ,4410705,"cm³","cubic centimetre"
DMQ,4476241,"dm³","cubic decimetre"
MLT,5065812,"ml","millilitre"
HLT,4738132,"hl","hectolitre"
CLT,4410452,"cl","centilitre"
DMA,4476225,"dam³","cubic decametre"
H19,4731193,"hm³","cubic hectometre"
H20,4731440,"km³","cubic kilometre"
M71,5060401,"m³/Pa","cubic metre per pascal"
DLT,4475988,"dl","decilitre"
4G,13383,"µl","microlitre"
K6,19254,"kl","kilolitre"
A44,4273204,"dal","decalitre"
G94,4667700,"cm³/bar","cubic centimetre per bar"
G95,4667701,"l/bar","litre per bar"
G96,4667702,"m³/bar","cubic metre per bar"
G97,4667703,"ml/bar","millilitre per bar"
INQ,4804177,"in³","cubic inch"
FTQ,4609105,"ft³","cubic foot"
YDQ,5850193,"yd³","cubic yard"
GLI,4672585,"gal (UK)","gallon (UK)"
GLL,4672588,"gal (US)","gallon (US)"
PT,20564,"pt (US)","pint (US)"
PTI,5264457,"pt (UK)","pint (UK)"
QTI,5329993,"qt (UK)","quart (UK)"
PTL,5264460,"liq pt (US)","liquid pint (US)"
QTL,5329996,"liq qt (US)","liquid quart (US)"
PTD,5264452,"dry pt (US)","dry pint (US)"
OZI,5200457,"fl oz (UK)","fluid ounce (UK)"
QT,20820,"qt (US)","quart (US)"
J57,4863287,"bbl (UK liq.)","barrel (UK petroleum)"
K21,4928049,"ft³/°F","cubic foot per degree Fahrenheit"
K23,4928051,"ft³/psi","cubic foot per psi"
L43,4994099,"pk (UK)","peck (UK)"
L84,4995124,"British shipping ton","ton (UK shipping)"
L86,4995126,"(US) shipping ton","ton (US shipping)"
M11,5058865,"yd³/°F","cubic yard per degree Fahrenheit"
M14,5058868,"yd³/psi","cubic yard per psi"
OZA,5200449,"fl oz (US)","fluid ounce (US)"
BUI,4347209,"bushel (UK)","bushel (UK)"
BUA,4347201,"bu (US)","bushel (US)"
BLL,4344908,"barrel (US)","barrel (US)"
BLD,4344900,"bbl (US)","dry barrel (US)"
GLD,4672580,"dry gal (US)","dry gallon (US)"
QTD,5329988,"dry qt (US)","dry quart (US)"
G26,4665910,"st","stere"
G21,4665905,"cup (US)","cup [unit of volume]"
G24,4665908,"tablespoon (US)","tablespoon (US)"
G25,4665909,"teaspoon (US)","teaspoon (US)"
G23,4665907,"pk (US)","peck"
M67,5060151,"acre-ft (US survey)","acre-foot (based on U.S. survey foot)"
M68,5060152,"cord","cord (128 ft3)"
M69,5060153,"mi³","cubic mile (UK statute)"
M70,5060400,"RT","ton, register"
G27,4665911,"cm³/K","cubic centimetre per kelvin"
G29,4665913,"m³/K","cubic metre per kelvin"
G28,4665912,"l/K","litre per kelvin"
G30,4666160,"ml/K","millilitre per kelvin"
J36,4862774,"µl/l","microlitre per litre"
J87,4864055,"cm³/m³","cubic centimetre per cubic metre"
J91,4864305,"dm³/m³","cubic decimetre per cubic metre"
K62,4929074,"l/l","litre per litre"
L19,4993337,"ml/l","millilitre per litre"
L21,4993585,"mm³/m³","cubic millimetre per cubic metre"
SEC,5457219,"s","second [unit of time]"
MIN,5065038,"min","minute [unit of time]"
HUR,4740434,"h","hour"
DAY,4473177,"d","day"
B52,4338994,"ks","kilosecond"
C26,4403766,"ms","millisecond"
H70,4732720,"ps","picosecond"
B98,4340024,"µs","microsecond"
C47,4404279,"ns","nanosecond"
WEE,5719365,"wk","week"
MON,5066574,"mo","month"
ANN,4279886,"y","year"
D42,4469810,"y (tropical)","tropical year"
L95,4995381,"y (365 days)","common year"
L96,4995382,"y (sidereal)","sidereal year"
M56,5059894,"shake","shake"
2A,12865,"rad/s","radian per second"
M46,5059638,"r/min","revolution per minute"
2B,12866,"rad/s²","radian per second squared"
M45,5059637,"°/s²","degree [unit of angle] per second squared"
MTS,5067859,"m/s","metre per second"
KNT,4935252,"kn","knot"
KMH,4934984,"km/h","kilometre per hour"
C16,4403510,"mm/s","millimetre per second"
2M,12877,"cm/s","centimetre per second"
H49,4731961,"cm/h","centimetre per hour"
H81,4732977,"mm/min","millimetre per minute"
2X,12888,"m/min","metre per minute"
M59,5059897,"(m/s)/Pa","metre per second pascal"
H66,4732470,"mm/y","millimetre per year"
H67,4732471,"mm/h","millimetre per hour"
FR,18002,"ft/min","foot per minute"
IU,18773,"in/s","inch per second"
FS,18003,"ft/s","foot per second"
HM,18509,"mile/h","mile per hour (statute mile)"
J84,4864052,"(cm/s)/K","centimetre per second kelvin"
J85,4864053,"(cm/s)/bar","centimetre per second bar"
K14,4927796,"ft/h","foot per hour"
K18,4927800,"(ft/s)/°F","foot per second degree Fahrenheit"
K19,4927801,"(ft/s)/psi","foot per second psi"
K47,4928567,"(in/s)/°F","inch per second degree Fahrenheit"
K48,4928568,"(in/s)/psi","inch per second psi"
L12,4993330,"(m/s)/K","metre per second kelvin"
L13,4993331,"(m/s)/bar","metre per second bar"
M22,5059122,"(ml/min)/cm²","millilitre per square centimetre minute"
M57,5059895,"mi/min","mile per minute"
M58,5059896,"mi/s","mile per second"
M60,5060144,"m/h","metre per hour"
M61,5060145,"in/y","inch per year"
M62,5060146,"km/s","kilometre per second"
M63,5060147,"in/min","inch per minute"
M64,5060148,"yd/s","yard per second"
M65,5060149,"yd/min","yard per minute"
M66,5060150,"yd/h","yard per hour"
MSK,5067595,"m/s²","metre per second squared"
A76,4273974,"Gal","gal"
C11,4403505,"mGal","milligal"
M38,5059384,"km/s²","kilometre per second squared"
M39,5059385,"cm/s²","centimetre per second squared"
M41,5059633,"mm/s²","millimetre per second squared"
A73,4273971,"ft/s²","foot per second squared"
IV,18774,"in/s²","inch per second squared"
K40,4928560,"gn","standard acceleration of free fall"
M40,5059632,"yd/s²","yard per second squared"
M42,5059634,"mi/s²","mile (statute mile) per second squared"
C92,4405554,"m⁻¹","reciprocal metre"
Q32,5321522,"fl","femtolitre"
Q33,5321523,"pl","picolitre"
Q34,5321524,"nl","nanolitre"
AWG,4282183,"AWG","american wire gauge"
HTZ,4740186,"Hz","hertz"
KHZ,4933722,"kHz","kilohertz"
MHZ,5064794,"MHz","megahertz"
D29,4469305,"THz","terahertz"
A86,4274230,"GHz","gigahertz"
H10,4731184,"1/h","reciprocal hour"
H11,4731185,"1/mo","reciprocal month"
H09,4730937,"1/y","reciprocal year"
H85,4732981,"1/wk","reciprocal week"
C97,4405559,"s⁻¹","reciprocal second"
RPS,5394515,"r/s","revolutions per second"
RPM,5394509,"r/min","revolutions per minute"
C94,4405556,"min⁻¹","reciprocal minute"
C50,4404528,"Np","neper"
2N,12878,"dB","decibel"
M72,5060402,"B","bel"
C51,4404529,"Np/s","neper per second"
KGM,4933453,"kg","kilogram"
MC,19779,"µg","microgram"
DJ,17482,"dag","decagram"
DG,17479,"dg","decigram"
GRM,4674125,"g","gram"
CGM,4409165,"cg","centigram"
TNE,5525061,"t","tonne (metric ton)"
DTN,4478030,"dt or dtn","decitonne"
MGM,5064525,"mg","milligram"
HGM,4736845,"hg","hectogram"
KTN,4936782,"kt","kilotonne"
2U,12885,"Mg","megagram"
LBR,4997714,"lb","pound"
GRN,4674126,"gr","grain"
ONZ,5197402,"oz","ounce (avoirdupois)"
CWI,4413257,"cwt (UK)","hundred weight (UK)"
CWA,4413249,"cwt (US)","hundred pound (cwt) / hundred weight (US)"
LTN,5002318,"ton (UK)","ton (UK) or long ton (US)"
STI,5461065,"st","stone (UK)"
STN,5461070,"ton (US)","ton (US) or short ton (UK/US)"
APZ,4280410,"tr oz","troy ounce or apothecary ounce"
F13,4600115,"slug","slug"
K64,4929076,"lb/°F","pound (avoirdupois) per degree Fahrenheit"
L69,4994617,"t/K","tonne per kelvin"
L87,4995127,"ton (US)/°F","ton short per degree Fahrenheit"
M86,5060662,"pfd","pfund"
KMQ,4934993,"kg/m³","kilogram per cubic metre"
23,12851,"g/cm³","gram per cubic centimetre"
D41,4469809,"t/m³","tonne per cubic metre"
GJ,18250,"g/ml","gram per millilitre"
B35,4338485,"kg/l or kg/L","kilogram per litre"
GL,18252,"g/l","gram per litre"
A93,4274483,"g/m³","gram per cubic metre"
GP,18256,"mg/m³","milligram per cubic metre"
B72,4339506,"Mg/m³","megagram per cubic metre"
B34,4338484,"kg/dm³","kilogram per cubic decimetre"
H64,4732468,"mg/g","milligram per gram"
H29,4731449,"µg/l","microgram per litre"
M1,19761,"mg/l","milligram per litre"
GQ,18257,"µg/m³","microgram per cubic metre"
G11,4665649,"g/(cm³·bar)","gram per cubic centimetre bar"
G33,4666163,"g/(cm³·K)","gram per cubic centimetre kelvin"
F23,4600371,"g/dm³","gram per cubic decimetre"
G12,4665650,"g/(dm³·bar)","gram per cubic decimetre bar"
G34,4666164,"g/(dm³·K)","gram per cubic decimetre kelvin"
G14,4665652,"g/(m³·bar)","gram per cubic metre bar"
G36,4666166,"g/(m³·K)","gram per cubic metre kelvin"
G13,4665651,"g/(l·bar)","gram per litre bar"
G35,4666165,"g/(l·K)","gram per litre kelvin"
G15,4665653,"g/(ml·bar)","gram per millilitre bar"
G37,4666167,"g/(ml·K)","gram per millilitre kelvin"
G31,4666161,"kg/cm³","kilogram per cubic centimetre"
G16,4665654,"kg/(cm³·bar)","kilogram per cubic centimetre bar"
G38,4666168,"kg/(cm³·K)","kilogram per cubic centimetre kelvin"
G18,4665656,"kg/(m³·bar)","kilogram per cubic metre bar"
G40,4666416,"kg/(m³·K)","kilogram per cubic metre kelvin"
H54,4732212,"(kg/dm³)/K","kilogram per cubic decimetre kelvin"
H55,4732213,"(kg/dm³)/bar","kilogram per cubic decimetre bar"
F14,4600116,"g/K","gram per kelvin"
F15,4600117,"kg/K","kilogram per kelvin"
F24,4600372,"kg/kmol","kilogram per kilomol"
G17,4665655,"kg/(l·bar)","kilogram per litre bar"
G39,4666169,"kg/(l·K)","kilogram per litre kelvin"
H53,4732211,"kg/bar","kilogram per bar"
F18,4600120,"kg·cm²","kilogram square centimetre"
F19,4600121,"kg·mm²","kilogram square millimetre"
F74,4601652,"g/bar","gram per bar"
F75,4601653,"mg/bar","milligram per bar"
F16,4600118,"mg/K","milligram per kelvin"
M73,5060403,"(kg/m³)/Pa","kilogram per cubic metre pascal"
87,14391,"lb/ft³","pound per cubic foot"
GE,18245,"lb/gal (US)","pound per gallon (US)"
LA,19521,"lb/in³","pound per cubic inch"
G32,4666162,"oz/yd³","ounce (avoirdupois) per cubic yard"
J34,4862772,"(µg/m³)/K","microgram per cubic metre kelvin"
J35,4862773,"(µg/m³)/bar","microgram per cubic metre bar"
K41,4928561,"gr/gal (US)","grain per gallon (US)"
K69,4929081,"(lb/ft³)/°F","pound (avoirdupois) per cubic foot degree Fahrenheit"
K70,4929328,"(lb/ft³)/psi","pound (avoirdupois) per cubic foot psi"
K71,4929329,"lb/gal (UK)","pound (avoirdupois) per gallon (UK)"
K75,4929333,"(lb/in³)/°F","pound (avoirdupois) per cubic inch degree Fahrenheit"
K76,4929334,"(lb/in³)/psi","pound (avoirdupois) per cubic inch psi"
K84,4929588,"lb/yd³","pound per cubic yard"
L17,4993335,"(mg/m³)/K","milligram per cubic metre kelvin"
L18,4993336,"(mg/m³)/bar","milligram per cubic metre bar"
L37,4993847,"oz/gal (UK)","ounce (avoirdupois) per gallon (UK)"
L38,4993848,"oz/gal (US)","ounce (avoirdupois) per gallon (US)"
L39,4993849,"oz/in³","ounce (avoirdupois) per cubic inch"
L65,4994613,"slug/ft³","slug per cubic foot"
L76,4994870,"(t/m³)/K","tonne per cubic metre kelvin"
L77,4994871,"(t/m³)/bar","tonne per cubic metre bar"
L92,4995378,"ton.l/yd³ (UK)","ton (UK long) per cubic yard"
L93,4995379,"ton.s/yd³ (US)","ton (US short) per cubic yard"
K77,4929335,"lb/psi","pound (avoirdupois) per psi"
L70,4994864,"t/bar","tonne per bar"
L91,4995377,"ton (US)/psi","ton short per psi"
M74,5060404,"kg/Pa","kilogram per pascal"
C62,4404786,"1","one"
A39,4272953,"m³/kg","cubic metre per kilogram"
22,12850,"dl/g","decilitre per gram"
H65,4732469,"ml/m³","millilitre per cubic metre"
H83,4732979,"l/kg","litre per kilogram"
KX,19288,"ml/kg","millilitre per kilogram"
H15,4731189,"cm²/g","square centimetre per gram"
N28,5124664,"dm³/kg","cubic decimetre per kilogram"
N29,5124665,"ft³/lb","cubic foot per pound"
N30,5124912,"in³/lb","cubic inch per pound"
KL,19276,"kg/m","kilogram per metre"
GF,18246,"g/m","gram per metre (gram per 100 centimetres)"
H76,4732726,"g/mm","gram per millimetre"
KW,19287,"kg/mm","kilogram per millimetre"
C12,4403506,"mg/m","milligram per metre"
M31,5059377,"kg/km","kilogram per kilometre"
P2,20530,"lb/ft","pound per foot"
PO,20559,"lb/in","pound per inch of length"
M83,5060659,"den","denier"
M84,5060660,"lb/yd","pound per yard"
GO,18255,"mg/m²","milligram per square metre"
25,12853,"g/cm²","gram per square centimetre"
H63,4732467,"mg/cm²","milligram per square centimetre"
GM,18253,"g/m²","gram per square metre"
28,12856,"kg/m²","kilogram per square metre"
D5,17461,"kg/cm²","kilogram per square centimetre"
ON,20302,"oz/yd²","ounce per square yard"
37,13111,"oz/ft²","ounce per square foot"
B31,4338481,"kg·m/s","kilogram metre per second"
M98,5060920,"kg·(cm/s)","kilogram centimetre per second"
M99,5060921,"g·(cm/s)","gram centimetre per second"
N10,5124400,"lb·(ft/s)","pound foot per second"
N11,5124401,"lb·(in/s)","pound inch per second"
B33,4338483,"kg·m²/s","kilogram metre squared per second"
B32,4338482,"kg·m²","kilogram metre squared"
F20,4600368,"lb·in²","pound inch squared"
K65,4929077,"lb·ft²","pound (avoirdupois) square foot"
NEW,5129559,"N","newton"
B73,4339507,"MN","meganewton"
B47,4338743,"kN","kilonewton"
C20,4403760,"mN","millinewton"
B92,4340018,"µN","micronewton"
DU,17493,"dyn","dyne"
C78,4405048,"lbf","pound-force"
B37,4338487,"kgf","kilogram-force"
B51,4338993,"kp","kilopond"
L40,4994096,"ozf","ounce (avoirdupois)-force"
L94,4995380,"ton.sh-force","ton-force (US short)"
M75,5060405,"kip","kilopound-force"
M76,5060406,"pdl","poundal"
M77,5060407,"kg·m/s²","kilogram metre per second squared"
M78,5060408,"p","pond"
F17,4600119,"lbf/ft","pound-force per foot"
F48,4600888,"lbf/in","pound-force per inch"
C54,4404532,"N·m²/kg²","newton metre squared per kilogram squared"
NU,20053,"N·m","newton metre"
H40,4731952,"N/A","newton per ampere"
B74,4339508,"MN·m","meganewton metre"
B48,4338744,"kN·m","kilonewton metre"
D83,4470835,"mN·m","millinewton metre"
B93,4340019,"µN·m","micronewton metre"
DN,17486,"dN·m","decinewton metre"
J72,4863794,"cN·m","centinewton metre"
M94,5060916,"kg·m","kilogram metre"
F88,4601912,"N·cm","newton centimetre"
F90,4602160,"N·m/A","newton metre per ampere"
F89,4601913,"Nm/°","newton metre per degree"
G19,4665657,"N·m/kg","newton metre per kilogram"
F47,4600887,"N/mm","newton per millimetre"
M93,5060915,"N·m/rad","newton metre per radian"
H41,4731953,"N·m·W⁻⁰‧⁵","newton metre watt to the power minus 0,5"
B38,4338488,"kgf·m","kilogram-force metre"
IA,18753,"in·lb","inch pound (pound inch)"
4Q,13393,"oz·in","ounce inch"
4R,13394,"oz·ft","ounce foot"
F22,4600370,"lbf·ft/A","pound-force foot per ampere"
F21,4600369,"lbf·in","pound-force inch"
G20,4665904,"lbf·ft/lb","pound-force foot per pound"
J94,4864308,"dyn·cm","dyne centimetre"
L41,4994097,"ozf·in","ounce (avoirdupois)-force inch"
M92,5060914,"lbf·ft","pound-force foot"
M95,5060917,"pdl·ft","poundal foot"
M96,5060918,"pdl·in","poundal inch"
M97,5060919,"dyn·m","dyne metre"
C57,4404535,"N·s","newton second"
C53,4404531,"N·m·s","newton metre second"
74,14132,"mPa","millipascal"
MPA,5066817,"MPa","megapascal"
PAL,5259596,"Pa","pascal"
KPA,4935745,"kPa","kilopascal"
BAR,4342098,"bar","bar [unit of pressure]"
HBA,4735553,"hbar","hectobar"
MBR,5063250,"mbar","millibar"
KBA,4932161,"kbar","kilobar"
ATM,4281421,"atm","standard atmosphere"
A89,4274233,"GPa","gigapascal"
B96,4340022,"µPa","micropascal"
A97,4274487,"hPa","hectopascal"
H75,4732725,"daPa","decapascal"
B85,4339765,"µbar","microbar"
C55,4404533,"N/m²","newton per square metre"
C56,4404534,"N/mm²","newton per square millimetre"
H07,4730935,"Pa·s/bar","pascal second per bar"
F94,4602164,"hPa·m³/s","hectopascal cubic metre per second"
F93,4602163,"hPa·l/s","hectopascal litre per second"
F82,4601906,"hPa/K","hectopascal per kelvin"
F83,4601907,"kPa/K","kilopascal per kelvin"
F98,4602168,"MPa·m³/s","megapascal cubic metre per second"
F97,4602167,"MPa·l/s","megapascal litre per second"
F85,4601909,"MPa/K","megapascal per kelvin"
F96,4602166,"mbar·m³/s","millibar cubic metre per second"
F95,4602165,"mbar·l/s","millibar litre per second"
F84,4601908,"mbar/K","millibar per kelvin"
G01,4665393,"Pa·m³/s","pascal cubic metre per second"
F99,4602169,"Pa·l/s","pascal litre per second"
F77,4601655,"Pa.s/K","pascal second per kelvin"
E01,4534321,"N/cm²","newton per square centimetre"
FP,18000,"lb/ft²","pound per square foot"
PS,20563,"lbf/in²","pound-force per square inch"
B40,4338736,"kgf/m²","kilogram-force per square metre"
UA,21825,"Torr","torr"
ATT,4281428,"at","technical atmosphere"
80,14384,"lb/in²","pound per square inch absolute"
H78,4732728,"cm H₂O","conventional centimetre of water"
HP,18512,"mm H₂O","conventional millimetre of water"
HN,18510,"mm Hg","conventional millimetre of mercury"
F79,4601657,"inHg","inch of mercury"
F78,4601656,"inH₂O","inch of water"
J89,4864057,"cm Hg","centimetre of mercury"
K24,4928052,"ft H₂O","foot of water"
K25,4928053,"ft Hg","foot of mercury"
K31,4928305,"gf/cm²","gram-force per square centimetre"
E42,4535346,"kgf/cm²","kilogram-force per square centimetre"
E41,4535345,"kgf·m/cm²","kilogram-force per square millimetre"
K85,4929589,"lbf/ft²","pound-force per square foot"
K86,4929590,"psi/°F","pound-force per square inch degree Fahrenheit"
84,14388,"klbf/in²","A unit of pressure defining the number of kilopounds force per square inch.Use kip per square inch (common code N20)."
N13,5124403,"cmHg (0 ºC)","centimetre of mercury (0 ºC)"
N14,5124404,"cmH₂O (4 °C)","centimetre of water (4 ºC)"
N15,5124405,"ftH₂O (39,2 ºF)","foot of water (39.2 ºF)"
N16,5124406,"inHG (32 ºF)","inch of mercury (32 ºF)"
N17,5124407,"inHg (60 ºF)","inch of mercury (60 ºF)"
N18,5124408,"inH₂O (39,2 ºF)","inch of water (39.2 ºF)"
N19,5124409,"inH₂O (60 ºF)","inch of water (60 ºF)"
N20,5124656,"ksi","kip per square inch"
N21,5124657,"pdl/ft²","poundal per square foot"
N22,5124658,"oz/in²","ounce (avoirdupois) per square inch"
N23,5124659,"mH₂O","conventional metre of water"
N24,5124660,"g/mm²","gram per square millimetre"
N25,5124661,"lb/yd²","pound per square yard"
N26,5124662,"pdl/in²","poundal per square inch"
E99,4536633,"hPa/bar","hectopascal per bar"
F05,4599861,"MPa/bar","megapascal per bar"
F04,4599860,"mbar/bar","millibar per bar"
F07,4599863,"Pa/bar","pascal per bar"
F03,4599859,"kPa/bar","kilopascal per bar"
L52,4994354,"psi/psi","psi per psi"
J56,4863286,"bar/bar","bar per bar"
C96,4405558,"Pa⁻¹","reciprocal pascal or pascal to the power minus one"
F58,4601144,"1/bar","reciprocal bar"
B83,4339763,"m⁴","metre to the fourth power"
G77,4667191,"mm⁴","millimetre to the fourth power"
D69,4470329,"in⁴","inch to the fourth power"
N27,5124663,"ft⁴","foot to the fourth power"
C65,4404789,"Pa·s","pascal second"
N37,5124919,"kg/(m·s)","kilogram per metre second"
N38,5124920,"kg/(m·min)","kilogram per metre minute"
C24,4403764,"mPa·s","millipascal second"
N36,5124918,"(N/m²)·s","newton second per square metre"
N39,5124921,"kg/(m·d)","kilogram per metre day"
N40,5125168,"kg/(m·h)","kilogram per metre hour"
N41,5125169,"g/(cm·s)","gram per centimetre second"
89,14393,"P","poise"
C7,17207,"cP","centipoise"
F06,4599862,"P/bar","poise per bar"
F86,4601910,"P/K","poise per kelvin"
J32,4862770,"µP","micropoise"
J73,4863795,"cP/K","centipoise per kelvin"
J74,4863796,"cP/bar","centipoise per bar"
K67,4929079,"lb/(ft·h)","pound per foot hour"
K68,4929080,"lb/(ft·s)","pound per foot second"
K91,4929841,"lbf·s/ft²","pound-force second per square foot"
K92,4929842,"lbf·s/in²","pound-force second per square inch"
L15,4993333,"mPa·s/K","millipascal second per kelvin"
L16,4993334,"mPa·s/bar","millipascal second per bar"
L64,4994612,"slug/(ft·s)","slug per foot second"
N34,5124916,"(pdl/ft²)·s","poundal second per square foot"
N35,5124917,"P/Pa","poise per pascal"
N42,5125170,"(pdl/in²)·s","poundal second per square inch"
N43,5125171,"lb/(ft·min)","pound per foot minute"
N44,5125172,"lb/(ft·d)","pound per foot day"
S4,21300,"m²/s","square metre per second"
M82,5060658,"(m²/s)/Pa","square metre per second pascal"
C17,4403511,"mm²/s","millimetre squared per second"
G41,4666417,"m²/(s·bar)","square metre per second bar"
G09,4665401,"m²/(s·K)","square metre per second kelvin"
91,14641,"St","stokes"
4C,13379,"cSt","centistokes"
G46,4666422,"St/bar","stokes per bar"
G10,4665648,"St/K","stokes per kelvin"
S3,21299,"ft²/s","square foot per second"
G08,4665400,"in²/s","square inch per second"
M79,5060409,"ft²/h","square foot per hour"
M80,5060656,"St/Pa","stokes per pascal"
M81,5060657,"cm²/s","square centimetre per second"
4P,13392,"N/m","newton per metre"
C22,4403762,"mN/m","millinewton per metre"
M23,5059123,"N/cm","newton per centimetre"
N31,5124913,"kN/m","kilonewton per metre"
DX,17496,"dyn/cm","dyne per centimetre"
N32,5124914,"pdl/in","poundal per inch"
N33,5124915,"lbf/yd","pound-force per yard"
M34,5059380,"N·m/m²","newton metre per square metre"
JOU,4869973,"J","joule"
KJO,4934223,"kJ","kilojoule"
A68,4273720,"EJ","exajoule"
C68,4404792,"PJ","petajoule"
