UNECECode,UnitId,DisplayName,Description
D30,4469552,"TJ","terajoule"
GV,18262,"GJ","gigajoule"
3B,13122,"MJ","megajoule"
C15,4403509,"mJ","millijoule"
A70,4273968,"fJ","femtojoule"
A13,4272435,"aJ","attojoule"
WHR,5720146,"W·h","watt hour"
MWH,5068616,"MW·h","megawatt hour (1000 kW.h)"
KWH,4937544,"kW·h","kilowatt hour"
GWH,4675400,"GW·h","gigawatt hour"
D32,4469554,"TW·h","terawatt hour"
A53,4273459,"eV","electronvolt"
B71,4339505,"MeV","megaelectronvolt"
A85,4274229,"GeV","gigaelectronvolt"
B29,4338233,"keV","kiloelectronvolt"
A57,4273463,"erg","erg"
85,14389,"ft·lbf","foot pound-force"
N46,5125174,"ft·pdl","foot poundal"
N47,5125175,"in·pdl","inch poundal"
WTT,5723220,"W","watt"
KWT,4937556,"kW","kilowatt"
MAW,5062999,"MW","megawatt"
A90,4274480,"GW","gigawatt"
C31,4404017,"mW","milliwatt"
D80,4470832,"µW","microwatt"
A63,4273715,"erg/s","erg per second"
A74,4273972,"ft·lbf/s","foot pound-force per second"
B39,4338489,"kgf·m/s","kilogram-force metre per second"
HJ,18506,"metric hp","metric horse power"
A25,4272693,"CV","cheval vapeur"
BHP,4343888,"BHP","brake horse power"
K15,4927797,"ft·lbf/h","foot pound-force per hour"
K16,4927798,"ft·lbf/min","foot pound-force per minute"
K42,4928562,"boiler hp","horsepower (boiler)"
N12,5124402,"PS","Pferdestaerke"
KGS,4933459,"kg/s","kilogram per second"
H56,4732214,"kg/(m²·s)","kilogram per square metre second"
M87,5060663,"(kg/s)/Pa","kilogram per second pascal"
4M,13389,"mg/h","milligram per hour"
F26,4600374,"g/d","gram per day"
F62,4601394,"g/(d·bar)","gram per day bar"
F35,4600629,"g/(d·K)","gram per day kelvin"
F27,4600375,"g/h","gram per hour"
F63,4601395,"g/(h·bar)","gram per hour bar"
F36,4600630,"g/(h·K)","gram per hour kelvin"
F28,4600376,"g/min","gram per minute"
F64,4601396,"g/(min·bar)","gram per minute bar"
F37,4600631,"g/(min·K)","gram per minute kelvin"
F29,4600377,"g/s","gram per second"
F65,4601397,"g/(s·bar)","gram per second bar"
F38,4600632,"g/(s·K)","gram per second kelvin"
F30,4600624,"kg/d","kilogram per day"
F66,4601398,"kg/(d·bar)","kilogram per day bar"
F39,4600633,"kg/(d·K)","kilogram per day kelvin"
E93,4536627,"kg/h","kilogram per hour"
F67,4601399,"kg/(h·bar)","kilogram per hour bar"
F40,4600880,"kg/(h·K)","kilogram per hour kelvin"
F31,4600625,"kg/min","kilogram per minute"
F68,4601400,"kg/(min·bar)","kilogram per minute bar"
F41,4600881,"kg/(min·K)","kilogram per minute kelvin"
F69,4601401,"kg/(s·bar)","kilogram per second bar"
F42,4600882,"kg/(s·K)","kilogram per second kelvin"
F32,4600626,"mg/d","milligram per day"
F70,4601648,"mg/(d·bar)","milligram per day bar"
F43,4600883,"mg/(d·K)","milligram per day kelvin"
F71,4601649,"mg/(h·bar)","milligram per hour bar"
F44,4600884,"mg/(h·K)","milligram per hour kelvin"
F33,4600627,"mg/min","milligram per minute"
F72,4601650,"mg/(min·bar)","milligram per minute bar"
F45,4600885,"mg/(min·K)","milligram per minute kelvin"
F34,4600628,"mg/s","milligram per second"
F73,4601651,"mg/(s·bar)","milligram per second bar"
F46,4600886,"mg/(s·K)","milligram per second kelvin"
F25,4600373,"g/Hz","gram per hertz"
4W,13399,"ton (US) /h","ton (US) per hour"
4U,13397,"lb/h","pound per hour"
K66,4929078,"lb/d","pound (avoirdupois) per day"
K73,4929331,"(lb/h)/°F","pound (avoirdupois) per hour degree Fahrenheit"
K74,4929332,"(lb/h)/psi","pound (avoirdupois) per hour psi"
K78,4929336,"lb/min","pound (avoirdupois) per minute"
K79,4929337,"lb/(min·°F)","pound (avoirdupois) per minute degree Fahrenheit"
K80,4929584,"(lb/min)/psi","pound (avoirdupois) per minute psi"
K81,4929585,"lb/s","pound (avoirdupois) per second"
K82,4929586,"(lb/s)/°F","pound (avoirdupois) per second degree Fahrenheit"
K83,4929587,"(lb/s)/psi","pound (avoirdupois) per second psi"
L33,4993843,"oz/d","ounce (avoirdupois) per day"
L34,4993844,"oz/h","ounce (avoirdupois) per hour"
L35,4993845,"oz/min","ounce (avoirdupois) per minute"
L36,4993846,"oz/s","ounce (avoirdupois) per second"
L63,4994611,"slug/d","slug per day"
L66,4994614,"slug/h","slug per hour"
L67,4994615,"slug/min","slug per minute"
L68,4994616,"slug/s","slug per second"
L71,4994865,"t/d","tonne per day"
L72,4994866,"(t/d)/K","tonne per day kelvin"
L73,4994867,"(t/d)/bar","tonne per day bar"
E18,4534584,"t/h","tonne per hour"
L74,4994868,"(t/h)/K","tonne per hour kelvin"
L75,4994869,"(t/h)/bar","tonne per hour bar"
L78,4994872,"t/min","tonne per minute"
L79,4994873,"(t/min)/K","tonne per minute kelvin"
L80,4995120,"(t/min)/bar","tonne per minute bar"
L81,4995121,"t/s","tonne per second"
L82,4995122,"(t/s)/K","tonne per second kelvin"
L83,4995123,"(t/s)/bar","tonne per second bar"
L85,4995125,"ton (UK)/d","ton long per day"
L88,4995128,"ton (US)/d","ton short per day"
L89,4995129,"ton (US)/(h·°F)","ton short per hour degree Fahrenheit"
L90,4995376,"(ton (US)/h)/psi","ton short per hour psi"
M88,5060664,"t/mo","tonne per month"
M89,5060665,"t/y","tonne per year"
M90,5060912,"klb/h","kilopound per hour"
J33,4862771,"µg/kg","microgram per kilogram"
L32,4993842,"ng/kg","nanogram per kilogram"
NA,20033,"mg/kg","milligram per kilogram"
M29,5059129,"kg/kg","kilogram per kilogram"
M91,5060913,"lb/lb","pound per pound"
MQS,5067091,"m³/s","cubic metre per second"
MQH,5067080,"m³/h","cubic metre per hour"
40,13360,"ml/s","millilitre per second"
41,13361,"ml/min","millilitre per minute"
LD,19524,"l/d","litre per day"
2J,12874,"cm³/s","cubic centimetre per second"
4X,13400,"kl/h","kilolitre per hour"
L2,19506,"l/min","litre per minute"
G47,4666423,"cm³/d","cubic centimetre per day"
G78,4667192,"cm³/(d·bar)","cubic centimetre per day bar"
G61,4666929,"cm³/(d·K)","cubic centimetre per day kelvin"
G48,4666424,"cm³/h","cubic centimetre per hour"
G79,4667193,"cm³/(h·bar)","cubic centimetre per hour bar"
G62,4666930,"cm³/(h·K)","cubic centimetre per hour kelvin"
G49,4666425,"cm³/min","cubic centimetre per minute"
G80,4667440,"cm³/(min·bar)","cubic centimetre per minute bar"
G63,4666931,"cm³/(min·K)","cubic centimetre per minute kelvin"
G81,4667441,"cm³/(s·bar)","cubic centimetre per second bar"
G64,4666932,"cm³/(s·K)","cubic centimetre per second kelvin"
E92,4536626,"dm³/h","cubic decimetre per hour"
G52,4666674,"m³/d","cubic metre per day"
G86,4667446,"m³/(d·bar)","cubic metre per day bar"
G69,4666937,"m³/(d·K)","cubic metre per day kelvin"
G87,4667447,"m³/(h·bar)","cubic metre per hour bar"
G70,4667184,"m³/(h·K)","cubic metre per hour kelvin"
G53,4666675,"m³/min","cubic metre per minute"
G88,4667448,"m³/(min·bar)","cubic metre per minute bar"
G71,4667185,"m³/(min·K)","cubic metre per minute kelvin"
G89,4667449,"m³/(s·bar)","cubic metre per second bar"
G72,4667186,"m³/(s·K)","cubic metre per second kelvin"
G82,4667442,"l/(d·bar)","litre per day bar"
G65,4666933,"l/(d·K)","litre per day kelvin"
G83,4667443,"l/(h·bar)","litre per hour bar"
G66,4666934,"l/(h·K)","litre per hour kelvin"
G84,4667444,"l/(min·bar)","litre per minute bar"
G67,4666935,"l/(min·K)","litre per minute kelvin"
G51,4666673,"l/s","litre per second"
G85,4667445,"l/(s·bar)","litre per second bar"
G68,4666936,"l/(s·K)","litre per second kelvin"
G54,4666676,"ml/d","millilitre per day"
G90,4667696,"ml/(d·bar)","millilitre per day bar"
G73,4667187,"ml/(d·K)","millilitre per day kelvin"
G55,4666677,"ml/h","millilitre per hour"
G91,4667697,"ml/(h·bar)","millilitre per hour bar"
G74,4667188,"ml/(h·K)","millilitre per hour kelvin"
G92,4667698,"ml/(min·bar)","millilitre per minute bar"
G75,4667189,"ml/(min·K)","millilitre per minute kelvin"
G93,4667699,"ml/(s·bar)","millilitre per second bar"
G76,4667190,"ml/(s·K)","millilitre per second kelvin"
2K,12875,"ft³/h","cubic foot per hour"
2L,12876,"ft³/min","cubic foot per minute"
5A,13633,"barrel (US)/min","barrel (US) per minute"
G2,18226,"gal (US) /min","US gallon per minute"
G3,18227,"gal (UK) /min","Imperial gallon per minute"
G56,4666678,"in³/h","cubic inch per hour"
G57,4666679,"in³/min","cubic inch per minute"
G58,4666680,"in³/s","cubic inch per second"
G50,4666672,"gal/h","gallon (US) per hour"
J58,4863288,"bbl (UK liq.)/min","barrel (UK petroleum) per minute"
J59,4863289,"bbl (UK liq.)/d","barrel (UK petroleum) per day"
J60,4863536,"bbl (UK liq.)/h","barrel (UK petroleum) per hour"
J61,4863537,"bbl (UK liq.)/s","barrel (UK petroleum) per second"
J62,4863538,"bbl (US)/h","barrel (US petroleum) per hour"
J63,4863539,"bbl (US)/s","barrel (US petroleum) per second"
J64,4863540,"bu (UK)/d","bushel (UK) per day"
J65,4863541,"bu (UK)/h","bushel (UK) per hour"
J66,4863542,"bu (UK)/min","bushel (UK) per minute"
J67,4863543,"bu (UK)/s","bushel (UK) per second"
J68,4863544,"bu (US dry)/d","bushel (US dry) per day"
J69,4863545,"bu (US dry)/h","bushel (US dry) per hour"
J70,4863792,"bu (US dry)/min","bushel (US dry) per minute"
J71,4863793,"bu (US dry)/s","bushel (US dry) per second"
J90,4864304,"dm³/d","cubic decimetre per day"
J92,4864306,"dm³/min","cubic decimetre per minute"
J93,4864307,"dm³/s","cubic decimetre per second"
N45,5125173,"(m³/s)/Pa","cubic metre per second pascal"
J95,4864309,"fl oz (UK)/d","ounce (UK fluid) per day"
J96,4864310,"fl oz (UK)/h","ounce (UK fluid) per hour"
J97,4864311,"fl oz (UK)/min","ounce (UK fluid) per minute"
J98,4864312,"fl oz (UK)/s","ounce (UK fluid) per second"
J99,4864313,"fl oz (US)/d","ounce (US fluid) per day"
K10,4927792,"fl oz (US)/h","ounce (US fluid) per hour"
K11,4927793,"fl oz (US)/min","ounce (US fluid) per minute"
K12,4927794,"fl oz (US)/s","ounce (US fluid) per second"
K22,4928050,"ft³/d","cubic foot per day"
K26,4928054,"gal (UK)/d","gallon (UK) per day"
K27,4928055,"gal (UK)/h","gallon (UK) per hour"
K28,4928056,"gal (UK)/s","gallon (UK) per second"
K30,4928304,"gal (US liq.)/s","gallon (US liquid) per second"
K32,4928306,"gi (UK)/d","gill (UK) per day"
K33,4928307,"gi (UK)/h","gill (UK) per hour"
K34,4928308,"gi (UK)/min","gill (UK) per minute"
K35,4928309,"gi (UK)/s","gill (UK) per second"
K36,4928310,"gi (US)/d","gill (US) per day"
K37,4928311,"gi (US)/h","gill (US) per hour"
K38,4928312,"gi (US)/min","gill (US) per minute"
K39,4928313,"gi (US)/s","gill (US) per second"
K94,4929844,"qt (UK liq.)/d","quart (UK liquid) per day"
K95,4929845,"qt (UK liq.)/h","quart (UK liquid) per hour"
K96,4929846,"qt (UK liq.)/min","quart (UK liquid) per minute"
K97,4929847,"qt (UK liq.)/s","quart (UK liquid) per second"
K98,4929848,"qt (US liq.)/d","quart (US liquid) per day"
K99,4929849,"qt (US liq.)/h","quart (US liquid) per hour"
L10,4993328,"qt (US liq.)/min","quart (US liquid) per minute"
L11,4993329,"qt (US liq.)/s","quart (US liquid) per second"
L44,4994100,"pk (UK)/d","peck (UK) per day"
L45,4994101,"pk (UK)/h","peck (UK) per hour"
L46,4994102,"pk (UK)/min","peck (UK) per minute"
L47,4994103,"pk (UK)/s","peck (UK) per second"
L48,4994104,"pk (US dry)/d","peck (US dry) per day"
L49,4994105,"pk (US dry)/h","peck (US dry) per hour"
L50,4994352,"pk (US dry)/min","peck (US dry) per minute"
L51,4994353,"pk (US dry)/s","peck (US dry) per second"
L53,4994355,"pt (UK)/d","pint (UK) per day"
L54,4994356,"pt (UK)/h","pint (UK) per hour"
L55,4994357,"pt (UK)/min","pint (UK) per minute"
L56,4994358,"pt (UK)/s","pint (UK) per second"
L57,4994359,"pt (US liq.)/d","pint (US liquid) per day"
L58,4994360,"pt (US liq.)/h","pint (US liquid) per hour"
L59,4994361,"pt (US liq.)/min","pint (US liquid) per minute"
L60,4994608,"pt (US liq.)/s","pint (US liquid) per second"
M12,5058866,"yd³/d","cubic yard per day"
M13,5058867,"yd³/h","cubic yard per hour"
M15,5058869,"yd³/min","cubic yard per minute"
M16,5058870,"yd³/s","cubic yard per second"
H60,4732464,"m³/m³","cubic metre per cubic metre"
F92,4602162,"bar·m³/s","bar cubic metre per second"
F91,4602161,"bar·l/s","bar litre per second"
K87,4929591,"psi·in³/s","psi cubic inch per second"
K88,4929592,"psi·l/s","psi litre per second"
K89,4929593,"psi·m³/s","psi cubic metre per second"
K90,4929840,"psi·yd³/s","psi cubic yard per second"
Q29,5321273,"µg/hg","microgram per hectogram"
KEL,4932940,"K","kelvin"
CEL,4408652,"°C","degree Celsius"
H12,4731186,"°C/h","degree Celsius per hour"
F60,4601392,"°C/bar","degree Celsius per bar"
E98,4536632,"°C/K","degree Celsius per kelvin"
H13,4731187,"°C/min","degree Celsius per minute"
H14,4731188,"°C/s","degree Celsius per second"
F61,4601393,"K/bar","kelvin per bar"
F10,4600112,"K/h","kelvin per hour"
F02,4599858,"K/K","kelvin per kelvin"
F11,4600113,"K/min","kelvin per minute"
F12,4600114,"K/s","kelvin per second"
N79,5125945,"K/Pa","kelvin per pascal"
J20,4862512,"°F/K","degree Fahrenheit per kelvin"
J21,4862513,"°F/bar","degree Fahrenheit per bar"
J26,4862518,"1/°F","reciprocal degree Fahrenheit"
A48,4273208,"°R","degree Rankine"
FAH,4604232,"°F","degree Fahrenheit"
J23,4862515,"°F/h","degree Fahrenheit per hour"
J24,4862516,"°F/min","degree Fahrenheit per minute"
J25,4862517,"°F/s","degree Fahrenheit per second"
J28,4862520,"°R/h","degree Rankine per hour"
J29,4862521,"°R/min","degree Rankine per minute"
J30,4862768,"°R/s","degree Rankine per second"
C91,4405553,"K⁻¹","reciprocal kelvin or kelvin to the power minus one"
M20,5059120,"1/MK","reciprocal megakelvin or megakelvin to the power minus one"
C64,4404788,"Pa/K","pascal per kelvin"
F81,4601905,"bar/K","bar per kelvin"
J55,4863285,"W·s","watt second"
BTU,4346965,"BtuIT","British thermal unit (international table)"
A1,16689,"cal₁₅","15 °C calorie"
D70,4470576,"calIT","calorie (international table)"
J39,4862777,"Btu","British thermal unit (mean)"
J75,4863797,"cal","calorie (mean)"
K51,4928817,"kcal","kilocalorie (mean)"
E14,4534580,"kcalIT","kilocalorie (international table)"
K53,4928819,"kcalth","kilocalorie (thermochemical)"
N66,5125686,"Btu (39 ºF)","British thermal unit (39 ºF)"
N67,5125687,"Btu (59 ºF)","British thermal unit (59 ºF)"
N68,5125688,"Btu (60 ºF)","British thermal unit (60 ºF)"
N69,5125689,"cal₂₀","calorie (20 ºC)"
N70,5125936,"quad","quad (1015 BtuIT)"
N71,5125937,"thm (EC)","therm (EC)"
N72,5125938,"thm (US)","therm (U.S.)"
D35,4469557,"calth","calorie (thermochemical)"
2I,12873,"BtuIT/h","British thermal unit (international table) per hour"
J44,4863028,"BtuIT/min","British thermal unit (international table) per minute"
J45,4863029,"BtuIT/s","British thermal unit (international table) per second"
J47,4863031,"Btuth/h","British thermal unit (thermochemical) per hour"
J51,4863281,"Btuth/min","British thermal unit (thermochemical) per minute"
J52,4863282,"Btuth/s","British thermal unit (thermochemical) per second"
J81,4864049,"calth/min","calorie (thermochemical) per minute"
J82,4864050,"calth/s","calorie (thermochemical) per second"
E15,4534581,"kcalth/h","kilocalorie (thermochemical) per hour"
K54,4928820,"kcalth/min","kilocalorie (thermochemical) per minute"
K55,4928821,"kcalth/s","kilocalorie (thermochemical) per second"
D54,4470068,"W/m²","watt per square metre"
N48,5125176,"W/cm²","watt per square centimetre"
N49,5125177,"W/in²","watt per square inch"
N50,5125424,"BtuIT/(ft²·h)","British thermal unit (international table) per square foot hour"
N51,5125425,"Btuth/(ft²·h)","British thermal unit (thermochemical) per square foot hour"
N52,5125426,"Btuth/(ft²·min)","British thermal unit (thermochemical) per square foot minute"
N53,5125427,"BtuIT/(ft²·s)","British thermal unit (international table) per square foot second"
N54,5125428,"Btuth/(ft²·s)","British thermal unit (thermochemical) per square foot second"
N55,5125429,"BtuIT/(in²·s)","British thermal unit (international table) per square inch second"
N56,5125430,"calth/(cm²·min)","calorie (thermochemical) per square centimetre minute"
N57,5125431,"calth/(cm²·s)","calorie (thermochemical) per square centimetre second"
D53,4470067,"W/(m·K)","watt per metre kelvin"
N80,5126192,"W/(m·°C)","watt per metre degree Celsius"
N81,5126193,"kW/(m·K)","kilowatt per metre kelvin"
N82,5126194,"kW/(m·°C)","kilowatt per metre degree Celsius"
A22,4272690,"BtuIT/(s·ft·°R)","British thermal unit (international table) per second foot degree Rankine"
D71,4470577,"calIT/(s·cm·K)","calorie (international table) per second centimetre kelvin"
D38,4469560,"calth/(s·cm·K)","calorie (thermochemical) per second centimetre kelvin"
J40,4863024,"BtuIT·ft/(h·ft²·°F)","British thermal unit (international table) foot per hour square foot degree Fahrenheit"
J41,4863025,"BtuIT·in/(h·ft²·°F)","British thermal unit (international table) inch per hour square foot degree Fahrenheit"
J42,4863026,"BtuIT·in/(s·ft²·°F)","British thermal unit (international table) inch per second square foot degree Fahrenheit"
J46,4863030,"Btuth·ft/(h·ft²·°F)","British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit"
J48,4863032,"Btuth·in/(h·ft²·°F)","British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit"
J49,4863033,"Btuth·in/(s·ft²·°F)","British thermal unit (thermochemical) inch per second square foot degree Fahrenheit"
J78,4863800,"calth/(cm·s·°C)","calorie (thermochemical) per centimetre second degree Celsius"
K52,4928818,"kcal/(m·h·°C)","kilocalorie (international table) per hour metre degree Celsius"
D55,4470069,"W/(m²·K)","watt per square metre kelvin"
N78,5125944,"kW/(m²·K)","kilowatt per square metre kelvin"
D72,4470578,"calIT/(s·cm²·K)","calorie (international table) per second square centimetre kelvin"
D39,4469561,"calth/(s·cm²·K)","calorie (thermochemical) per second square centimetre kelvin"
A20,4272688,"BtuIT/(s·ft²·°R)","British thermal unit (international table) per second square foot degree Rankine"
A23,4272691,"BtuIT/(h·ft²·°R)","British thermal unit (international table) per hour square foot degree Rankine"
N74,5125940,"BtuIT/(h·ft²·ºF)","British thermal unit (international table) per hour square foot degree Fahrenheit"
N75,5125941,"Btuth/(h·ft²·ºF)","British thermal unit (thermochemical) per hour square foot degree Fahrenheit"
N76,5125942,"BtuIT/(s·ft²·ºF)","British thermal unit (international table) per second square foot degree Fahrenheit"
N77,5125943,"Btuth/(s·ft²·ºF)","British thermal unit (thermochemical) per second square foot degree Fahrenheit"
D19,4469049,"m²·K/W","square metre kelvin per watt"
J19,4862265,"°F·h·ft²/Btuth","degree Fahrenheit hour square foot per British thermal unit (thermochemical)"
J22,4862514,"°F·h·ft²/BtuIT","degree Fahrenheit hour square foot per British thermal unit (international table)"
J83,4864051,"clo","clo"
L14,4993332,"m²·h·°C/kcal","square metre hour degree Celsius per kilocalorie (international table)"
B21,4338225,"K/W","kelvin per watt"
H35,4731701,"K·m/W","kelvin metre per watt"
N84,5126196,"ºF/(BtuIT/h)","degree Fahrenheit hour per British thermal unit (international table)"
N85,5126197,"ºF/(Btuth/h)","degree Fahrenheit hour per British thermal unit (thermochemical)"
N86,5126198,"ºF/(BtuIT/s)","degree Fahrenheit second per British thermal unit (international table)"
N87,5126199,"ºF/(Btuth/s)","degree Fahrenheit second per British thermal unit (thermochemical)"
N88,5126200,"ºF·h·ft²/(BtuIT·in)","degree Fahrenheit hour square foot per British thermal unit (international table) inch"
N89,5126201,"ºF·h·ft²/(Btuth·in)","degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch"
D52,4470066,"W/K","watt per kelvin"
E97,4536631,"mm/(°C·m)","millimetre per degree Celcius metre"
F53,4601139,"mm/K","millimetre per kelvin"
N83,5126195,"m/(°C·m)","metre per degree Celcius metre"
JE,19013,"J/K","joule per kelvin"
B41,4338737,"kJ/K","kilojoule per kelvin"
J43,4863027,"BtuIT/(lb·°F)","British thermal unit (international table) per pound degree Fahrenheit"
J50,4863280,"Btuth/(lb·°F)","British thermal unit (thermochemical) per pound degree Fahrenheit"
J76,4863798,"calIT/(g·°C)","calorie (international table) per gram degree Celsius"
J79,4863801,"calth/(g·°C)","calorie (thermochemical) per gram degree Celsius"
N60,5125680,"BtuIT/ºF","British thermal unit (international table) per degree Fahrenheit"
N61,5125681,"Btuth/ºF","British thermal unit (thermochemical) per degree Fahrenheit"
N62,5125682,"BtuIT/ºR","British thermal unit (international table) per degree Rankine"
N63,5125683,"Btuth/ºR","British thermal unit (thermochemical) per degree Rankine"
N64,5125684,"(Btuth/°R)/lb","British thermal unit (thermochemical) per pound degree Rankine"
N65,5125685,"(kcalIT/K)/g","kilocalorie (international table) per gram kelvin"
B11,4337969,"J/(kg·K)","joule per kilogram kelvin"
B43,4338739,"kJ/(kg·K)","kilojoule per kilogram kelvin"
A21,4272689,"Btu/IT(lb·°R)","British thermal unit (international table) per pound degree Rankine"
D76,4470582,"calIT/(g·K)","calorie (international table) per gram kelvin"
D37,4469559,"calth/(g·K)","calorie (thermochemical) per gram kelvin"
J2,18994,"J/kg","joule per kilogram"
D95,4471093,"J/g","joule per gram"
JK,19019,"MJ/kg","megajoule per kilogram"
B42,4338738,"kJ/kg","kilojoule per kilogram"
AZ,16730,"BtuIT/lb","British thermal unit (international table) per pound"
D75,4470581,"calIT/g","calorie (international table) per gram"
N73,5125939,"Btuth/lb","British thermal unit (thermochemical) per pound"
B36,4338486,"calth/g","calorie (thermochemical) per gram"
N58,5125432,"BtuIT/ft³","British thermal unit (international table) per cubic foot"
N59,5125433,"Btuth/ft³","British thermal unit (thermochemical) per cubic foot"
Q31,5321521,"kJ/g","kilojoule per gram"
AMP,4279632,"A","ampere"
B22,4338226,"kA","kiloampere"
H38,4731704,"MA","megaampere"
4K,13387,"mA","milliampere"
B84,4339764,"µA","microampere"
C39,4404025,"nA","nanoampere"
C70,4405040,"pA","picoampere"
N96,5126454,"Bi","biot"
N97,5126455,"Gi","gilbert"
COU,4411221,"C","coulomb"
A8,16696,"A·s","ampere second"
H32,4731698,"A²·s","ampere squared second"
AMH,4279624,"A·h","ampere hour"
TAH,5521736,"kA·h","kiloampere hour (thousand ampere hour)"
D77,4470583,"MC","megacoulomb"
D86,4470838,"mC","millicoulomb"
B26,4338230,"kC","kilocoulomb"
B86,4339766,"µC","microcoulomb"
C40,4404272,"nC","nanocoulomb"
C71,4405041,"pC","picocoulomb"
E09,4534329,"mA·h","milliampere hour"
N95,5126453,"A·min","ampere minute"
N94,5126452,"Fr","franklin"
A29,4272697,"C/m³","coulomb per cubic metre"
A84,4274228,"GC/m³","gigacoulomb per cubic metre"
A30,4272944,"C/mm³","coulomb per cubic millimetre"
B69,4339257,"MC/m³","megacoulomb per cubic metre"
A28,4272696,"C/cm³","coulomb per cubic centimetre"
B27,4338231,"kC/m³","kilocoulomb per cubic metre"
D88,4470840,"mC/m³","millicoulomb per cubic metre"
B87,4339767,"µC/m³","microcoulomb per cubic metre"
A34,4272948,"C/m²","coulomb per square metre"
B70,4339504,"MC/m²","megacoulomb per square metre"
A35,4272949,"C/mm²","coulomb per square millimetre"
A33,4272947,"C/cm²","coulomb per square centimetre"
B28,4338232,"kC/m²","kilocoulomb per square metre"
D89,4470841,"mC/m²","millicoulomb per square metre"
B88,4339768,"µC/m²","microcoulomb per square metre"
D50,4470064,"V/m","volt per metre"
H45,4731957,"V·s/m","volt second per metre"
D45,4469813,"V²/K²","volt squared per kelvin squared"
D51,4470065,"V/mm","volt per millimetre"
H24,4731444,"V/µs","volt per microsecond"
H62,4732466,"mV/min","millivolt per minute"
H46,4731958,"V/s","volt per second"
B79,4339513,"MV/m","megavolt per metre"
B55,4338997,"kV/m","kilovolt per metre"
D47,4469815,"V/cm","volt per centimetre"
